ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0096,1.0096,0.3000,41.6870,0.8000,649.23,159.03,0.0422,0.0518,60,1131
0.0115,0.9885,0.3000,41.6870,0.9000,645.12,115.85,0.0417,0.0461,60,1132
0.0347,0.9653,0.3000,41.6870,1,626.52,73.407,0.0416,0.0414,14,1133
-5.7139e-05,1.0001,0.4000,41.6870,0.0100,650,643.99,0.0417,4.1516,32,1134
3.0781e-05,1.0000,0.4000,41.6870,0.1000,650,589.95,0.0417,0.4152,33,1135
3.3556e-05,1.0000,0.4000,41.6870,0.2000,650,529.9,0.0417,0.2076,30,1136
3.3355e-05,1.0000,0.4000,41.6870,0.3000,650,469.84,0.0417,0.1383,16,1137
2.0959e-05,1.0000,0.4000,41.6870,0.4000,650,409.45,0.0417,0.1038,60,1138
-0.0045,1.0045,0.4000,41.6870,0.5000,650,346.43,0.0419,0.0831,60,1139
0.4204,0.5796,1,1,0.3000,397.79,545.67,1.7370,5.7906,60,114
-0.0087,1.0087,0.4000,41.6870,0.6000,650,288.48,0.0415,0.0692,60,1140
-0.0156,1.0156,0.4000,41.6870,0.7000,649.92,225.27,0.0415,0.0593,60,1141
0.0106,0.9894,0.4000,41.6870,0.8000,649.26,176.73,0.0414,0.0518,60,1142
0.0150,0.9850,0.4000,41.6870,0.9000,643.04,113.95,0.0420,0.0461,60,1143
0.0403,0.9597,0.4000,41.6870,1,624.9,75.484,0.0415,0.0415,60,1144
5.1919e-04,0.9995,0.5000,41.6870,0.0100,650,643.94,0.0421,4.1531,60,1145
0.0028,0.9972,0.5000,41.6870,0.1000,650,589.87,0.0418,0.4153,60,1146
-3.5364e-04,1.0004,0.5000,41.6870,0.2000,650,529.99,0.0415,0.2076,60,1147
0.0079,0.9921,0.5000,41.6870,0.3000,650,473.72,0.0411,0.1384,60,1148
-0.0031,1.0031,0.5000,41.6870,0.4000,650,404.54,0.0423,0.1037,60,1149
0.4367,0.5633,1,1,0.4000,387.97,514.81,1.7372,4.3429,57,115
-0.0201,1.0201,0.5000,41.6870,0.5000,650,339.01,0.0423,0.0830,60,1150
1.7900e-05,1.0000,0.5000,41.6870,0.6000,649.99,289.71,0.0417,0.0692,56,1151
2.8159e-04,0.9997,0.5000,41.6870,0.7000,649.88,229.75,0.0416,0.0593,14,1152
0.0154,0.9846,0.5000,41.6870,0.8000,648.73,170.09,0.0421,0.0519,60,1153
0.0130,0.9870,0.5000,41.6870,0.9000,642.25,116.77,0.0416,0.0461,14,1154
0.0426,0.9574,0.5000,41.6870,1,622.48,77.431,0.0417,0.0415,60,1155
-2.2747e-05,1.0000,0.6000,41.6870,0.0100,650,644,0.0417,4.1548,60,1156
-0.0043,1.0043,0.6000,41.6870,0.1000,650,589.16,0.0420,0.4155,60,1157
9.1021e-04,0.9991,0.6000,41.6870,0.2000,650,530.29,0.0416,0.2076,60,1158
0.0064,0.9936,0.6000,41.6870,0.3000,650,472.11,0.0414,0.1385,60,1159
0.4525,0.5475,1,1,0.5000,378.49,485.75,1.7372,3.4743,25,116
0.0025,0.9975,0.6000,41.6870,0.4000,650,409.29,0.0419,0.1038,60,1160
-0.0161,1.0161,0.6000,41.6870,0.5000,650,348.29,0.0412,0.0831,60,1161
4.5413e-05,1.0000,0.6000,41.6870,0.6000,649.98,289.76,0.0417,0.0692,17,1162
0.0084,0.9916,0.6000,41.6870,0.7000,649.83,236.49,0.0413,0.0594,60,1163
-0.0066,1.0066,0.6000,41.6870,0.8000,648.11,169.64,0.0413,0.0519,60,1164
0.0134,0.9866,0.6000,41.6870,0.9000,639.78,114.82,0.0419,0.0462,60,1165
0.0363,0.9637,0.6000,41.6870,1,620.97,78.482,0.0419,0.0412,60,1166
-3.5506e-05,1.0000,0.7000,41.6870,0.0100,650,644,0.0417,4.1565,60,1167
0.0012,0.9988,0.7000,41.6870,0.1000,650,590.06,0.0416,0.4157,60,1168
0.0033,0.9967,0.7000,41.6870,0.2000,650,530.52,0.0416,0.2078,60,1169
0.4678,0.5322,1,1,0.6000,369.25,458.34,1.7376,2.8953,60,117
1.3589e-05,1.0000,0.7000,41.6870,0.3000,650,469.88,0.0417,0.1386,60,1170
0.0022,0.9978,0.7000,41.6870,0.4000,650,410.16,0.0417,0.1040,60,1171
1.1284e-05,1.0000,0.7000,41.6870,0.5000,650,349.81,0.0417,0.0831,60,1172
9.0698e-05,0.9999,0.7000,41.6870,0.6000,649.95,289.81,0.0417,0.0693,60,1173
0.0116,0.9884,0.7000,41.6870,0.7000,649.62,230.46,0.0416,0.0589,60,1174
0.0046,0.9954,0.7000,41.6870,0.8000,647.27,171.96,0.0417,0.0519,16,1175
0.0207,0.9793,0.7000,41.6870,0.9000,639.08,120.87,0.0417,0.0465,60,1176
0.0508,0.9492,0.7000,41.6870,1,618.11,81.787,0.0416,0.0415,14,1177
-0.0035,1.0035,0.8000,41.6870,0.0100,650,643.93,0.0421,4.1586,60,1178
3.9107e-05,1.0000,0.8000,41.6870,0.1000,650,589.97,0.0417,0.4158,40,1179
0.4825,0.5175,1,1,0.7000,360.5,432.65,1.7371,2.4815,19,118
-0.0127,1.0127,0.8000,41.6870,0.2000,650,526.71,0.0421,0.2078,60,1180
-0.0029,1.0029,0.8000,41.6870,0.3000,650,467.77,0.0416,0.1384,60,1181
0.0041,0.9959,0.8000,41.6870,0.4000,650,411.34,0.0417,0.1041,60,1182
0.0082,0.9918,0.8000,41.6870,0.5000,649.99,357.47,0.0414,0.0834,60,1183
0.0075,0.9925,0.8000,41.6870,0.6000,649.88,294.47,0.0414,0.0693,60,1184
0.0016,0.9984,0.8000,41.6870,0.7000,649.04,230.46,0.0417,0.0594,17,1185
0.0136,0.9864,0.8000,41.6870,0.8000,645.06,171.91,0.0421,0.0516,60,1186
0.0250,0.9750,0.8000,41.6870,0.9000,635.06,123.28,0.0416,0.0461,14,1187
0.0582,0.9418,0.8000,41.6870,1,617.1,89.667,0.0414,0.0418,60,1188
-4.8526e-05,1.0000,0.9000,41.6870,0.0100,650,644,0.0417,4.1596,60,1189
0.4967,0.5033,1,1,0.8000,351.98,408.45,1.7370,2.1718,60,119
1.5863e-04,0.9998,0.9000,41.6870,0.1000,650,589.46,0.0420,0.4159,60,1190
3.3288e-05,1.0000,0.9000,41.6870,0.2000,650,529.92,0.0417,0.2080,60,1191
-0.0058,1.0058,0.9000,41.6870,0.3000,650,470.61,0.0413,0.1386,60,1192
-0.0026,1.0026,0.9000,41.6870,0.4000,650,407.99,0.0419,0.1039,60,1193
0.0082,0.9918,0.9000,41.6870,0.5000,649.96,355.26,0.0413,0.0834,60,1194
7.3061e-04,0.9993,0.9000,41.6870,0.6000,649.57,290.03,0.0417,0.0693,60,1195
0.0037,0.9963,0.9000,41.6870,0.7000,647.79,231.29,0.0417,0.0594,60,1196
0.0131,0.9869,0.9000,41.6870,0.8000,642.15,176.03,0.0417,0.0520,60,1197
0.0273,0.9727,0.9000,41.6870,0.9000,632.24,136.22,0.0411,0.0464,60,1198
0.0699,0.9301,0.9000,41.6870,1,607.17,92.703,0.0417,0.0416,60,1199
0.3693,0.6307,0.1000,1,0.0100,428.43,646.22,1.7373,172.9590,60,12
0.5106,0.4894,1,1,0.9000,343.65,385.63,1.7375,1.9300,60,120
-1.6629e-04,1.0002,1,41.6870,0.0100,650,644,0.0417,4.1672,60,1200
0.0050,0.9950,1,41.6870,0.1000,650,590.05,0.0419,0.4170,60,1201
0.0017,0.9983,1,41.6870,0.2000,650,529.35,0.0416,0.2079,60,1202
-0.0052,1.0052,1,41.6870,0.3000,650,469.58,0.0416,0.1390,60,1203
7.5027e-05,0.9999,1,41.6870,0.4000,649.97,410.02,0.0417,0.1042,60,1204
0.0023,0.9977,1,41.6870,0.5000,649.76,349.77,0.0416,0.0832,60,1205
0.0023,0.9977,1,41.6870,0.6000,648.61,290.83,0.0417,0.0695,60,1206
0.0062,0.9938,1,41.6870,0.7000,644.88,233.13,0.0415,0.0594,60,1207
0.0306,0.9694,1,41.6870,0.8000,637.39,185.49,0.0414,0.0516,60,1208
0.0491,0.9509,1,41.6870,0.9000,620.53,136.53,0.0417,0.0463,60,1209
0.5237,0.4763,1,1,1,335.68,364.24,1.7376,1.7372,60,121
0.0844,0.9156,1,41.6870,1,600.36,104.13,0.0416,0.0419,60,1210
-0.0084,1.0084,0,63.0960,0.0100,650,643.85,0.0280,2.7530,60,1211
-8.2116e-04,1.0008,0,63.0960,0.1000,650,589.95,0.0275,0.2753,17,1212
-0.0028,1.0028,0,63.0960,0.2000,650,529.39,0.0276,0.1375,60,1213
-1.4767e-04,1.0001,0,63.0960,0.3000,650,469.97,0.0275,0.0918,30,1214
-0.0062,1.0062,0,63.0960,0.4000,650,409.59,0.0274,0.0687,15,1215
-0.0119,1.0119,0,63.0960,0.5000,650,341.34,0.0280,0.0549,60,1216
-1.8090e-04,1.0002,0,63.0960,0.6000,650,289.93,0.0275,0.0459,17,1217
-0.0040,1.0040,0,63.0960,0.7000,650,226.56,0.0276,0.0394,60,1218
-5.0895e-05,1.0001,0,63.0960,0.8000,650,169.97,0.0275,0.0344,15,1219
0.2217,0.7783,0,1.5136,0.0100,516.92,645.33,1.1478,114.7588,60,122
-0.0128,1.0128,0,63.0960,0.9000,649.69,98.943,0.0274,0.0306,60,1220
0.0155,0.9845,0,63.0960,1,640.69,59.314,0.0274,0.0274,12,1221
-0.0035,1.0035,0.1000,63.0960,0.0100,650,644.01,0.0273,2.7327,60,1222
0.0010,0.9990,0.1000,63.0960,0.1000,650,589.99,0.0275,0.2734,60,1223
5.4422e-05,0.9999,0.1000,63.0960,0.2000,650,529.79,0.0275,0.1365,15,1224
0.0075,0.9925,0.1000,63.0960,0.3000,650,472.95,0.0272,0.0912,60,1225
-0.0063,1.0063,0.1000,63.0960,0.4000,650,406.13,0.0278,0.0683,60,1226
-0.0015,1.0015,0.1000,63.0960,0.5000,650,350.54,0.0274,0.0547,60,1227
-0.0206,1.0206,0.1000,63.0960,0.6000,650,281.85,0.0276,0.0456,60,1228
-4.0925e-05,1.0000,0.1000,63.0960,0.7000,650,228.94,0.0276,0.0390,60,1229
0.2364,0.7636,0,1.5136,0.1000,508.11,604.19,1.1475,11.4772,60,123
0.0043,0.9957,0.1000,63.0960,0.8000,650,175.61,0.0273,0.0341,60,1230
4.6335e-04,0.9995,0.1000,63.0960,0.9000,649.78,109.94,0.0275,0.0303,14,1231
0.0106,0.9894,0.1000,63.0960,1,639.32,60.632,0.0275,0.0273,13,1232
-7.4718e-05,1.0001,0.2000,63.0960,0.0100,650,643.99,0.0275,2.7387,27,1233
-0.0119,1.0119,0.2000,63.0960,0.1000,650,588.88,0.0277,0.2739,60,1234
5.0077e-05,0.9999,0.2000,63.0960,0.2000,650,529.85,0.0275,0.1368,15,1235
4.1032e-05,1.0000,0.2000,63.0960,0.3000,650,469.78,0.0275,0.0913,16,1236
-0.0031,1.0031,0.2000,63.0960,0.4000,650,411.12,0.0273,0.0685,60,1237
0.0078,0.9922,0.2000,63.0960,0.5000,650,349.88,0.0277,0.0548,60,1238
5.0127e-05,0.9999,0.2000,63.0960,0.6000,650,289.55,0.0275,0.0456,14,1239
0.2534,0.7466,0,1.5136,0.2000,497.89,560.41,1.1477,5.7386,60,124
0.0101,0.9899,0.2000,63.0960,0.7000,650,228.22,0.0279,0.0391,60,1240
-0.0134,1.0134,0.2000,63.0960,0.8000,649.99,173.79,0.0269,0.0342,60,1241
0.0012,0.9988,0.2000,63.0960,0.9000,649.28,110.36,0.0275,0.0304,19,1242
0.0190,0.9810,0.2000,63.0960,1,637.12,64.542,0.0274,0.0274,60,1243
0.0079,0.9921,0.3000,63.0960,0.0100,650,644.09,0.0273,2.7403,60,1244
4.5789e-05,1.0000,0.3000,63.0960,0.1000,650,589.95,0.0275,0.2740,17,1245
-0.0035,1.0035,0.3000,63.0960,0.2000,650,529.46,0.0275,0.1370,60,1246
-0.0161,1.0161,0.3000,63.0960,0.3000,650,465.9,0.0277,0.0913,60,1247
0.0164,0.9836,0.3000,63.0960,0.4000,650,418.55,0.0270,0.0685,60,1248
-0.0048,1.0048,0.3000,63.0960,0.5000,650,347.51,0.0276,0.0548,60,1249
0.2708,0.7292,0,1.5136,0.3000,487.59,518.76,1.1476,3.8256,60,125
0.0084,0.9916,0.3000,63.0960,0.6000,650,296.8,0.0272,0.0457,60,1250
-0.0011,1.0011,0.3000,63.0960,0.7000,650,229.96,0.0275,0.0391,60,1251
0.0141,0.9859,0.3000,63.0960,0.8000,649.95,175.62,0.0276,0.0343,60,1252
0.0032,0.9968,0.3000,63.0960,0.9000,648.12,111.42,0.0275,0.0304,14,1253
0.0169,0.9831,0.3000,63.0960,1,628.33,64.448,0.0274,0.0274,60,1254
-1.3159e-04,1.0001,0.4000,63.0960,0.0100,650,643.99,0.0275,2.7429,36,1255
-0.0012,1.0012,0.4000,63.0960,0.1000,650,591.52,0.0268,0.2743,60,1256
0.0038,0.9962,0.4000,63.0960,0.2000,650,531.92,0.0272,0.1371,60,1257
-0.0089,1.0089,0.4000,63.0960,0.3000,650,467.38,0.0277,0.0914,60,1258
1.5465e-05,1.0000,0.4000,63.0960,0.4000,650,409.79,0.0275,0.0686,25,1259
0.2882,0.7118,0,1.5136,0.4000,476.95,479.26,1.1472,2.8691,60,126
-0.0069,1.0069,0.4000,63.0960,0.5000,650,345.84,0.0277,0.0548,60,1260
-0.0024,1.0024,0.4000,63.0960,0.6000,650,288.61,0.0276,0.0456,60,1261
