ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0022,1.0022,0.5000,63.0960,0.8000,649.77,175.97,0.0274,0.0344,60,1153
0.0079,0.9921,0.5000,63.0960,0.9000,644.54,100.96,0.0280,0.0304,60,1154
0.0252,0.9748,0.5000,63.0960,1,627.01,66.783,0.0277,0.0276,60,1155
0.0046,0.9954,0.6000,63.0960,0.0100,650,644,0.0277,2.7451,60,1156
7.6510e-05,0.9999,0.6000,63.0960,0.1000,650,589.97,0.0275,0.2745,19,1157
-0.0186,1.0186,0.6000,63.0960,0.2000,650,532.85,0.0264,0.1371,60,1158
-0.0129,1.0129,0.6000,63.0960,0.3000,650,469.14,0.0273,0.0914,60,1159
0.4525,0.5475,1,1,0.5000,378.5,485.73,1.7370,3.4740,60,116
-0.0289,1.0289,0.6000,63.0960,0.4000,650,402.74,0.0276,0.0686,60,1160
-4.0357e-06,1.0000,0.6000,63.0960,0.5000,650,349.78,0.0275,0.0549,25,1161
-0.0115,1.0115,0.6000,63.0960,0.6000,650,290.02,0.0272,0.0458,60,1162
-5.4440e-04,1.0005,0.6000,63.0960,0.7000,649.99,234.51,0.0272,0.0393,60,1163
6.0349e-04,0.9994,0.6000,63.0960,0.8000,649.64,170.02,0.0275,0.0343,60,1164
0.0038,0.9962,0.6000,63.0960,0.9000,646.53,116.22,0.0274,0.0305,60,1165
0.0339,0.9661,0.6000,63.0960,1,627.98,71.959,0.0275,0.0275,32,1166
-0.0101,1.0101,0.7000,63.0960,0.0100,650,643.93,0.0276,2.7462,60,1167
0.0024,0.9976,0.7000,63.0960,0.1000,650,588.9,0.0281,0.2746,60,1168
0.0062,0.9938,0.7000,63.0960,0.2000,650,529.1,0.0279,0.1373,60,1169
0.4678,0.5322,1,1,0.6000,369.35,458.39,1.7371,2.8951,19,117
-0.0077,1.0077,0.7000,63.0960,0.3000,650,466.5,0.0278,0.0915,60,1170
-0.0131,1.0131,0.7000,63.0960,0.4000,650,406.66,0.0274,0.0686,60,1171
-0.0013,1.0013,0.7000,63.0960,0.5000,650,351.09,0.0273,0.0548,60,1172
-0.0129,1.0129,0.7000,63.0960,0.6000,650,282.1,0.0277,0.0460,60,1173
0.0014,0.9986,0.7000,63.0960,0.7000,649.97,229.76,0.0272,0.0391,60,1174
0.0010,0.9990,0.7000,63.0960,0.8000,649.37,170.26,0.0275,0.0343,60,1175
-0.0062,1.0062,0.7000,63.0960,0.9000,639.74,98.88,0.0280,0.0305,60,1176
0.0368,0.9632,0.7000,63.0960,1,627.65,75.647,0.0277,0.0275,60,1177
-0.0128,1.0128,0.8000,63.0960,0.0100,650,643.83,0.0279,2.7474,60,1178
-0.0074,1.0074,0.8000,63.0960,0.1000,650,588.06,0.0278,0.2746,60,1179
0.4826,0.5174,1,1,0.7000,360.47,432.65,1.7376,2.4818,60,118
-0.0029,1.0029,0.8000,63.0960,0.2000,650,531.69,0.0276,0.1379,60,1180
4.0364e-05,1.0000,0.8000,63.0960,0.3000,650,469.9,0.0275,0.0916,19,1181
-0.0130,1.0130,0.8000,63.0960,0.4000,650,407.36,0.0274,0.0687,60,1182
0.0075,0.9925,0.8000,63.0960,0.5000,650,358.15,0.0275,0.0553,60,1183
-0.0092,1.0092,0.8000,63.0960,0.6000,649.99,285.78,0.0275,0.0458,60,1184
-0.0027,1.0027,0.8000,63.0960,0.7000,649.84,227.25,0.0278,0.0393,60,1185
6.8242e-04,0.9993,0.8000,63.0960,0.8000,648.75,171.69,0.0278,0.0345,60,1186
0.0121,0.9879,0.8000,63.0960,0.9000,646.04,134.93,0.0270,0.0308,60,1187
0.0374,0.9626,0.8000,63.0960,1,618.54,73.702,0.0280,0.0274,60,1188
-0.0235,1.0235,0.9000,63.0960,0.0100,650,643.7,0.0283,2.7486,60,1189
0.4967,0.5033,1,1,0.8000,351.98,408.45,1.7370,2.1718,60,119
7.0305e-05,0.9999,0.9000,63.0960,0.1000,650,589.96,0.0275,0.2748,60,1190
-0.0155,1.0155,0.9000,63.0960,0.2000,650,528.71,0.0275,0.1375,60,1191
0.0046,0.9954,0.9000,63.0960,0.3000,650,466.09,0.0281,0.0914,60,1192
2.3688e-05,1.0000,0.9000,63.0960,0.4000,650,409.84,0.0275,0.0687,60,1193
3.0599e-05,1.0000,0.9000,63.0960,0.5000,650,349.8,0.0275,0.0550,60,1194
-0.0149,1.0149,0.9000,63.0960,0.6000,649.93,275.44,0.0278,0.0458,60,1195
7.8411e-04,0.9992,0.9000,63.0960,0.7000,649.53,230.06,0.0275,0.0393,60,1196
0.0048,0.9952,0.9000,63.0960,0.8000,644.85,149.72,0.0274,0.0337,60,1197
0.0124,0.9876,0.9000,63.0960,0.9000,634.31,112.84,0.0276,0.0304,60,1198
0.0467,0.9533,0.9000,63.0960,1,612.6,79.428,0.0279,0.0274,60,1199
0.3693,0.6307,0.1000,1,0.0100,428.43,646.22,1.7373,172.9590,60,12
0.5106,0.4894,1,1,0.9000,343.65,385.63,1.7375,1.9300,60,120
-3.8257e-04,1.0004,1,63.0960,0.0100,650,643.89,0.0280,2.7537,60,1200
1.2717e-04,0.9999,1,63.0960,0.1000,650,590.01,0.0275,0.2753,60,1201
6.7996e-05,0.9999,1,63.0960,0.2000,650,530.01,0.0275,0.1377,60,1202
-0.0059,1.0059,1,63.0960,0.3000,650,466.48,0.0277,0.0912,60,1203
-0.0070,1.0070,1,63.0960,0.4000,650,400.28,0.0284,0.0688,60,1204
7.8142e-05,0.9999,1,63.0960,0.5000,649.98,350.02,0.0275,0.0551,60,1205
-0.0126,1.0126,1,63.0960,0.6000,649.68,283.69,0.0277,0.0461,60,1206
-0.0030,1.0030,1,63.0960,0.7000,648.58,239.62,0.0268,0.0392,60,1207
0.0148,0.9852,1,63.0960,0.8000,642.95,174.5,0.0272,0.0339,60,1208
0.0264,0.9736,1,63.0960,0.9000,628.3,125.62,0.0276,0.0306,60,1209
0.5238,0.4762,1,1,1,335.75,364.25,1.7370,1.7370,18,121
0.0710,0.9290,1,63.0960,1,607.43,92.59,0.0275,0.0275,60,1210
0.0204,0.9796,0,100,0.0100,650,644.25,0.0170,1.7373,60,1211
-0.0036,1.0036,0,100,0.1000,650,592.66,0.0165,0.1739,60,1212
-0.0142,1.0142,0,100,0.2000,650,533.47,0.0166,0.0863,60,1213
-9.4033e-05,1.0001,0,100,0.3000,650,469.98,0.0174,0.0579,60,1214
-0.0020,1.0020,0,100,0.4000,650,410.13,0.0173,0.0434,60,1215
-1.7874e-04,1.0002,0,100,0.5000,650,349.95,0.0174,0.0347,38,1216
-3.5765e-05,1.0000,0,100,0.6000,650,289.98,0.0174,0.0290,58,1217
-1.7788e-05,1.0000,0,100,0.7000,650,229.99,0.0174,0.0248,60,1218
-0.0054,1.0054,0,100,0.8000,650,162.76,0.0175,0.0222,60,1219
0.2065,0.7935,0,1.5849,0.0100,525.96,645.24,1.0965,109.6372,60,122
0.0020,0.9980,0,100,0.9000,650,109.51,0.0173,0.0191,60,1220
0.0399,0.9601,0,100,1,648.99,82.319,0.0169,0.0172,60,1221
0.0027,0.9973,0.1000,100,0.0100,650,644.09,0.0171,1.7242,60,1222
-0.0195,1.0195,0.1000,100,0.1000,650,588.01,0.0176,0.1724,60,1223
-0.0113,1.0113,0.1000,100,0.2000,650,527.57,0.0175,0.0860,60,1224
-0.0248,1.0248,0.1000,100,0.3000,650,467.16,0.0172,0.0575,60,1225
-0.0069,1.0069,0.1000,100,0.4000,650,410.31,0.0172,0.0431,60,1226
0.0100,0.9900,0.1000,100,0.5000,650,351.84,0.0174,0.0345,60,1227
0.0195,0.9805,0.1000,100,0.6000,650,300.22,0.0172,0.0285,60,1228
-0.0061,1.0061,0.1000,100,0.7000,650,234.13,0.0171,0.0246,60,1229
0.2215,0.7785,0,1.5849,0.1000,517.12,603.29,1.0961,10.9608,29,123
3.9878e-05,1.0000,0.1000,100,0.8000,650,169.48,0.0174,0.0215,15,1230
-0.0187,1.0187,0.1000,100,0.9000,649.78,96.997,0.0173,0.0186,60,1231
0.0050,0.9950,0.1000,100,1,648.02,66.789,0.0170,0.0174,60,1232
-1.6125e-04,1.0002,0.2000,100,0.0100,650,643.99,0.0174,1.7280,26,1233
-0.0016,1.0016,0.2000,100,0.1000,650,589.5,0.0174,0.1727,60,1234
0.0023,0.9977,0.2000,100,0.2000,650,530.7,0.0173,0.0865,60,1235
-0.0027,1.0027,0.2000,100,0.3000,650,471.26,0.0172,0.0575,60,1236
-0.0246,1.0246,0.2000,100,0.4000,650,401.96,0.0175,0.0432,60,1237
1.6320e-05,1.0000,0.2000,100,0.5000,650,349.62,0.0174,0.0346,36,1238
-0.0066,1.0066,0.2000,100,0.6000,650,285.72,0.0174,0.0288,60,1239
0.2385,0.7615,0,1.5849,0.2000,506.86,558.63,1.0960,5.4805,60,124
0.0396,0.9604,0.2000,100,0.7000,650,242.22,0.0175,0.0247,60,1240
0.0034,0.9966,0.2000,100,0.8000,650,165.52,0.0176,0.0217,60,1241
1.5774e-04,0.9998,0.2000,100,0.9000,649.91,109.73,0.0174,0.0192,31,1242
0.0193,0.9807,0.2000,100,1,644.1,64.14,0.0173,0.0173,60,1243
-0.0112,1.0112,0.3000,100,0.0100,650,643.83,0.0177,1.7291,60,1244
0.0129,0.9871,0.3000,100,0.1000,650,590.66,0.0174,0.1729,60,1245
-0.0129,1.0129,0.3000,100,0.2000,650,526.04,0.0177,0.0865,60,1246
