ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.0062,0.9938,0.7000,63.0960,0.3000,650,476.84,0.0267,0.0916,60,1170
0.0224,0.9776,0.7000,63.0960,0.4000,650,420.53,0.0266,0.0685,60,1171
0.0010,0.9990,0.7000,63.0960,0.5000,650,348.28,0.0276,0.0545,60,1172
-0.0057,1.0057,0.7000,63.0960,0.6000,649.95,283.96,0.0275,0.0454,60,1173
7.9233e-04,0.9992,0.7000,63.0960,0.7000,649.47,230.08,0.0275,0.0392,60,1174
0.0042,0.9958,0.7000,63.0960,0.8000,646.25,172.29,0.0276,0.0345,60,1175
0.0239,0.9761,0.7000,63.0960,0.9000,636.39,125.96,0.0276,0.0308,60,1176
0.0590,0.9410,0.7000,63.0960,1,613.15,86.743,0.0275,0.0275,51,1177
-0.0056,1.0056,0.8000,63.0960,0.0100,650,643.96,0.0275,2.7474,60,1178
-1.8937e-04,1.0002,0.8000,63.0960,0.1000,650,589.39,0.0278,0.2748,60,1179
0.4825,0.5175,1,1,0.7000,360.5,432.68,1.7370,2.4818,60,118
-0.0011,1.0011,0.8000,63.0960,0.2000,650,529.8,0.0275,0.1374,60,1180
4.4021e-04,0.9996,0.8000,63.0960,0.3000,650,474.2,0.0270,0.0917,60,1181
-0.0058,1.0058,0.8000,63.0960,0.4000,650,412.69,0.0271,0.0687,60,1182
-0.0177,1.0177,0.8000,63.0960,0.5000,649.98,340.22,0.0277,0.0548,60,1183
1.5873e-04,0.9998,0.8000,63.0960,0.6000,649.81,289.86,0.0275,0.0458,60,1184
-0.0015,1.0015,0.8000,63.0960,0.7000,648.57,232.22,0.0276,0.0393,60,1185
0.0082,0.9918,0.8000,63.0960,0.8000,643.1,175.13,0.0274,0.0342,60,1186
0.0287,0.9713,0.8000,63.0960,0.9000,626.04,118.68,0.0276,0.0306,60,1187
0.0646,0.9354,0.8000,63.0960,1,603.53,92.56,0.0276,0.0272,60,1188
-0.0198,1.0198,0.9000,63.0960,0.0100,650,644,0.0269,2.7480,60,1189
0.4968,0.5032,1,1,0.8000,351.95,408.44,1.7370,2.1712,18,119
-0.0024,1.0024,0.9000,63.0960,0.1000,650,589.81,0.0275,0.2748,60,1190
-0.0148,1.0148,0.9000,63.0960,0.2000,650,527.11,0.0278,0.1374,60,1191
0.0204,0.9796,0.9000,63.0960,0.3000,650,478.96,0.0268,0.0916,60,1192
0.0094,0.9906,0.9000,63.0960,0.4000,650,414.93,0.0273,0.0688,60,1193
0.0078,0.9922,0.9000,63.0960,0.5000,649.95,356.92,0.0272,0.0551,60,1194
0.0034,0.9966,0.9000,63.0960,0.6000,649.21,289.27,0.0276,0.0454,60,1195
0.0124,0.9876,0.9000,63.0960,0.7000,646.2,231.65,0.0278,0.0390,60,1196
-0.0023,1.0023,0.9000,63.0960,0.8000,637.03,177.69,0.0270,0.0342,60,1197
0.0424,0.9576,0.9000,63.0960,0.9000,619.2,131.71,0.0275,0.0304,60,1198
0.0829,0.9171,0.9000,63.0960,1,601.9,107.8,0.0275,0.0273,60,1199
0.3692,0.6308,0.1000,1,0.0100,428.47,646.22,1.7370,172.9720,60,12
0.5105,0.4895,1,1,0.9000,343.68,385.68,1.7370,1.9305,60,120
7.9956e-04,0.9992,1,63.0960,0.0100,650,644.05,0.0273,2.7532,60,1200
-0.0309,1.0309,1,63.0960,0.1000,650,591.43,0.0261,0.2756,60,1201
-0.0017,1.0017,1,63.0960,0.2000,650,529.81,0.0275,0.1377,60,1202
0.0079,0.9921,1,63.0960,0.3000,650,473.21,0.0273,0.0919,60,1203
-0.0021,1.0021,1,63.0960,0.4000,649.96,407.91,0.0278,0.0690,60,1204
-0.0038,1.0038,1,63.0960,0.5000,649.56,352.35,0.0272,0.0549,60,1205
0.0035,0.9965,1,63.0960,0.6000,647.54,291.32,0.0275,0.0459,60,1206
0.0134,0.9866,1,63.0960,0.7000,641.65,235.7,0.0275,0.0393,60,1207
0.0309,0.9691,1,63.0960,0.8000,628.32,182.11,0.0275,0.0344,60,1208
0.0723,0.9277,1,63.0960,0.9000,609.44,143.31,0.0277,0.0305,60,1209
0.5238,0.4762,1,1,1,335.73,364.31,1.7373,1.7373,60,121
0.0993,0.9007,1,63.0960,1,579.75,108.9,0.0276,0.0274,60,1210
0.0296,0.9704,0,100,0.0100,650,644.14,0.0175,1.7373,60,1211
0.0112,0.9888,0,100,0.1000,650,591.39,0.0172,0.1740,60,1212
0.0267,0.9733,0,100,0.2000,650,538.48,0.0166,0.0867,60,1213
-0.0097,1.0097,0,100,0.3000,650,464.87,0.0177,0.0580,60,1214
0.0047,0.9953,0,100,0.4000,650,415.34,0.0171,0.0432,60,1215
-0.0029,1.0029,0,100,0.5000,650,347.42,0.0175,0.0353,60,1216
-0.0133,1.0133,0,100,0.6000,650,274.44,0.0178,0.0288,60,1217
-9.0258e-04,1.0009,0,100,0.7000,650,229.62,0.0174,0.0248,60,1218
0.0329,0.9671,0,100,0.8000,650,195.72,0.0168,0.0214,60,1219
0.2067,0.7933,0,1.5849,0.0100,526.06,645.24,1.0962,109.5996,60,122
0.0125,0.9875,0,100,0.9000,649.99,119.59,0.0173,0.0193,60,1220
-0.0013,1.0013,0,100,1,644.75,58.526,0.0172,0.0175,60,1221
0.0100,0.9900,0.1000,100,0.0100,650,644.04,0.0174,1.7242,60,1222
-0.0278,1.0278,0.1000,100,0.1000,650,586.64,0.0178,0.1724,60,1223
0.0030,0.9970,0.1000,100,0.2000,650,527.72,0.0177,0.0861,60,1224
-0.0060,1.0060,0.1000,100,0.3000,650,467.43,0.0175,0.0575,60,1225
-0.0092,1.0092,0.1000,100,0.4000,650,404.99,0.0175,0.0431,60,1226
-8.9168e-04,1.0009,0.1000,100,0.5000,650,350.04,0.0173,0.0345,60,1227
-0.0103,1.0103,0.1000,100,0.6000,650,288.45,0.0172,0.0288,60,1228
0.0109,0.9891,0.1000,100,0.7000,650,227.47,0.0176,0.0246,60,1229
0.2215,0.7785,0,1.5849,0.1000,517.17,603.3,1.0959,10.9604,60,123
-0.0048,1.0048,0.1000,100,0.8000,650,166.14,0.0173,0.0215,60,1230
0.0228,0.9772,0.1000,100,0.9000,649.99,124.27,0.0173,0.0191,60,1231
