ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0036,1.0036,0.1,15.849,0.3,649.99,469.06,0.1097,0.3626,60,741
-0.002,1.002,0.1,15.849,0.4,649.96,408.85,0.1098,0.272,60,742
-9.3729e-05,1.0001,0.2,15.849,0.01,650,643.99,0.1096,10.9029,49,749
-6.6292e-05,1.0001,0.2,15.849,0.1,650,589.93,0.1096,1.0903,23,750
-0.00075038,1.0008,0.3,15.849,0.01,650,643.99,0.1095,10.9095,60,760
-0.0011,1.0011,0.3,15.849,0.1,650,589.85,0.1097,1.091,60,761
-5.6183e-05,1.0001,0.3,15.849,0.2,650,529.89,0.1096,0.5455,23,762
-0.0062,1.0062,0.3,15.849,0.4,649.89,407.77,0.1098,0.2727,60,764
-0.0044,1.0044,0.4,15.849,0.01,650,643.95,0.1099,10.9198,60,771
-0.0062,1.0062,0.4,15.849,0.1,650,589.36,0.11,1.092,60,772
-0.0033,1.0033,0.4,15.849,0.2,649.99,529.91,0.1092,0.546,60,773
-0.00059877,1.0006,0.4,15.849,0.4,649.82,409.12,0.1099,0.273,60,775
-0.00069484,1.0007,0.5,15.849,0.4,649.73,409.71,0.1096,0.2731,60,786
-0.00027929,1.0003,0.6,15.849,0.01,650,643.99,0.1096,10.9283,31,793
-0.00015552,1.0002,0.6,15.849,0.1,650,589.95,0.1096,1.0927,18,794
-6.119e-05,1.0001,0.6,15.849,0.2,649.98,529.91,0.1096,0.5464,56,795
-0.00028594,1.0003,0.6,15.849,0.4,649.55,409.17,0.1099,0.2732,60,797
-0.00032729,1.0003,0.7,15.849,0.01,650,643.99,0.1096,10.9328,60,804
-0.00022249,1.0002,0.7,15.849,0.2,649.97,529.31,0.1101,0.5467,60,806
-0.0038,1.0038,0.8,15.849,0.01,650,643.96,0.1099,10.9375,60,815
-0.00011017,1.0001,0.8,15.849,0.2,649.94,529.68,0.1098,0.547,60,817
-0.00021999,1.0002,0.8,15.849,0.3,649.69,469.26,0.11,0.3647,60,818
-0.00059193,1.0006,0.9,15.849,0.01,650,643.99,0.1096,10.9408,60,826
-0.0011,1.0011,0.9,15.849,0.1,649.99,589.81,0.1098,1.0941,60,827
-0.00035096,1.0004,0.9,15.849,0.3,649.46,470.21,0.1093,0.3648,60,829
-0.0069,1.0069,1,15.849,0.01,650,643.99,0.1091,10.9608,60,837
-0.00071103,1.0007,1,15.849,0.1,649.98,590.01,0.1095,1.0961,60,838
-0.0037,1.0037,1,15.849,0.2,649.79,529.85,0.1094,0.5484,60,839
-0.005,1.005,0,25.119,0.2,650,528.8,0.0695,0.346,60,850
-0.00028447,1.0003,0,25.119,0.3,650,469.94,0.0691,0.2304,16,851
-0.0039,1.0039,0,25.119,0.4,650,408.17,0.0693,0.1729,60,852
-0.00010586,1.0001,0,25.119,0.5,650,349.97,0.0692,0.1383,29,853
-0.0051,1.0051,0,25.119,0.6,649.99,287.35,0.0694,0.1159,60,854
-0.007,1.007,0.1,25.119,0.3,650,466.47,0.0699,0.2288,60,862
-0.0013,1.0013,0.1,25.119,0.5,650,349.04,0.0692,0.1373,60,864
-9.544e-05,1.0001,0.2,25.119,0.2,650,529.84,0.0691,0.3438,16,872
-0.0048,1.0048,0.2,25.119,0.3,650,468.78,0.0692,0.2293,60,873
-0.0044,1.0044,0.3,25.119,0.2,650,528.55,0.0696,0.3442,60,883
-0.0024,1.0024,0.3,25.119,0.5,649.99,346.78,0.0697,0.1377,60,886
-0.0035,1.0035,0.3,25.119,0.7,649.27,229.38,0.0689,0.0983,60,888
-0.0013,1.0013,0.4,25.119,0.1,650,590.54,0.0684,0.689,60,893
-8.5247e-05,1.0001,0.4,25.119,0.3,650,469.83,0.0692,0.2297,60,895
-0.0059,1.0059,0.4,25.119,0.4,650,408,0.069,0.1721,60,896
-0.0051,1.0051,0.4,25.119,0.5,649.97,348.29,0.0692,0.1378,60,897
-0.003,1.003,0.4,25.119,0.7,648.67,228.11,0.0692,0.0984,60,899
-0.007,1.007,0.5,25.119,0.1,650,589.8,0.0688,0.6892,60,904
-0.0037,1.0037,0.5,25.119,0.5,649.93,347.9,0.0694,0.1379,60,908
-0.0025,1.0025,0.5,25.119,0.6,649.57,287.39,0.0694,0.1149,60,909
-0.0048,1.0048,0.6,25.119,0.01,650,643.95,0.0693,6.8953,60,914
-0.00017957,1.0002,0.6,25.119,0.2,650,529.89,0.0691,0.3446,16,916
-0.00010637,1.0001,0.6,25.119,0.3,650,469.85,0.0692,0.2298,29,917
-0.00088161,1.0009,0.6,25.119,0.4,649.98,409.27,0.0692,0.1724,60,918
-0.0053,1.0053,0.6,25.119,0.5,649.87,349.53,0.0689,0.1379,60,919
-0.0036,1.0036,0.6,25.119,0.6,649.22,286.82,0.0695,0.1149,60,920
-0.00021982,1.0002,0.7,25.119,0.01,650,644,0.0691,6.8981,60,925
-0.0056,1.0056,0.7,25.119,0.3,649.99,468.42,0.0693,0.23,60,928
-0.0014,1.0014,0.7,25.119,0.5,649.68,346.78,0.0694,0.1378,60,930
-0.002,1.002,0.7,25.119,0.6,648.6,287.83,0.0695,0.115,60,931
-0.0011,1.0011,0.8,25.119,0.01,650,644.1,0.0678,6.9011,60,936
-0.0065,1.0065,0.8,25.119,0.2,650,528.21,0.0694,0.3448,60,938
-0.0086,1.0086,0.8,25.119,0.3,649.98,467.01,0.0697,0.23,60,939
